iter,time_ns,pose_x,pose_y,pose_z,err_x,err_y,err_z,Fx,Fy,Fz,tau0,tau1,tau2,iq0,iq1,iq2,Ks_x,env_K,iq_pred,iq_nopred
0,86655000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2000,-2000,-2000,0.000000,1.000000,0.000000,0.000000
1,87705000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-24243.981476,1.069641,11119.643250,3.209305,-15930.792786,-15432.196838,2000,2000,2000,100.000000,1.000000,0.000000,0.000000
2,88755000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-16973.599243,0.749207,7798.960571,2.248001,-11152.640823,-10805.976883,2000,2000,2000,100.000000,1.000000,3828.571045,2000.000000
3,89805000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-11884.353790,0.524902,5474.492798,1.575089,-7809.349075,-7569.037079,2000,2000,2000,100.000000,1.000000,3828.571045,2000.000000
4,90855000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-8321.897583,0.367889,3847.372437,1.104050,-5467.055099,-5301.189117,2000,2000,2000,100.000000,1.000000,3828.571045,2000.000000
5,91905000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-5828.189087,0.258026,2708.393250,0.774475,-3828.856384,-3715.102432,2000,2000,2000,100.000000,1.000000,2000.000000,2000.000000
6,92955000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-4082.600708,0.181122,1911.111298,0.543762,-2682.122223,-2604.846527,2000,2000,2000,100.000000,1.000000,2000.000000,2000.000000
7,94005000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-2860.694122,0.127258,1353.016357,0.382172,-1877.411804,-1825.670776,2000,2000,2000,100.000000,1.000000,2000.000000,2000.000000
8,95055000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-2005.363312,0.089569,962.351532,0.269104,-1315.517014,-1281.650162,2000,2000,2000,100.000000,1.000000,2000.000000,2000.000000
9,96105000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-1406.634369,0.063171,688.887329,0.189911,-922.192383,-900.837387,2000,2000,2000,100.000000,1.000000,2000.000000,2000.000000
10,97155000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-987.525940,0.044708,497.463226,0.134521,-646.866348,-634.269608,2000,2000,2000,100.000000,1.000000,2000.000000,2000.000000
11,98205000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-694.151306,0.031891,363.466949,0.095810,-454.138916,-447.672943,2000,2000,2000,100.000000,1.000000,2000.000000,2000.000000
12,99255000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-488.789978,0.022888,269.669952,0.068665,-319.230362,-317.055893,2000,2000,2000,100.000000,1.000000,2000.000000,2000.000000
13,100305000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-345.037689,0.016479,204.012299,0.049561,-224.794846,-225.624405,2000,2000,2000,100.000000,1.000000,2000.000000,2000.000000
14,101355000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-244.411469,0.012054,158.052216,0.036301,-158.690201,-161.622604,2000,2000,2000,100.000000,1.000000,2000.000000,2000.000000
15,102405000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-173.973389,0.009003,125.880280,0.027008,-112.417191,-116.821564,2000,2000,2000,100.000000,1.000000,2000.000000,2000.000000
16,103455000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-124.667053,0.006866,103.359985,0.020462,-80.026245,-85.460983,2000,2000,2000,100.000000,1.000000,2000.000000,2000.000000
17,104505000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-90.152740,0.005341,87.595825,0.015884,-57.352692,-63.508698,2000,2000,2000,100.000000,1.000000,2000.000000,2000.000000
18,105555000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-65.992737,0.004272,76.560974,0.012665,-41.481125,-48.141998,2000,2000,2000,100.000000,1.000000,2000.000000,2000.000000
19,106605000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-49.080811,0.003510,68.836670,0.010376,-30.371124,-37.385422,2000,2000,2000,100.000000,1.000000,2000.000000,2000.000000
20,107655000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-37.242584,0.003052,63.429718,0.008865,-22.594223,-29.855927,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
21,108705000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-28.955841,0.002563,59.644775,0.007767,-17.150421,-24.585297,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
22,109755000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-23.155212,0.002243,56.995392,0.006973,-13.339691,-20.895767,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
23,110805000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-19.094696,0.002090,55.140839,0.006531,-10.672180,-18.313126,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
24,111855000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-16.252441,0.001923,53.842621,0.006058,-8.804993,-16.505325,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
25,112905000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-14.262848,0.001923,52.933960,0.005783,-7.497986,-15.239899,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
26,113955000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-12.870178,0.001907,52.297821,0.005646,-6.583099,-14.354111,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
27,115005000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-11.895294,0.001892,51.852570,0.005508,-5.942627,-13.734024,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
28,116055000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-11.212769,0.001877,51.540833,0.005508,-5.494232,-13.299881,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
29,117105000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-10.735016,0.001877,51.322632,0.005508,-5.180420,-12.996063,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
30,118155000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-10.400696,0.001862,51.169891,0.005508,-4.960831,-12.783463,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
31,119205000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-10.166626,0.001846,51.062927,0.005508,-4.807083,-12.634583,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
32,120255000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-10.002747,0.001831,50.988159,0.005508,-4.699341,-12.530273,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
33,121305000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-9.888000,0.001816,50.935822,0.005508,-4.624008,-12.457367,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
34,122355000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-9.807739,0.001816,50.899200,0.005508,-4.571289,-12.406326,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
35,123405000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-9.751587,0.001801,50.873566,0.005508,-4.534332,-12.370544,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
36,124455000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-9.712219,0.001785,50.855560,0.005493,-4.508514,-12.345551,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
37,125505000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-9.684601,0.001785,50.842896,0.005493,-4.490433,-12.328033,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
38,126555000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-9.665375,0.001755,50.834045,0.005493,-4.477783,-12.315781,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
39,127605000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-9.651947,0.001755,50.827942,0.005493,-4.468964,-12.307236,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
